id,名,domain,range,is_transitive,is_symmetric,is_functional,inverseof,inversefunctional,sameas,subpropertyof,关系/属性
1,曾祖母,A01,A03,0,0,1,None,0,None,None,关系
2,祖师爷,A01,A01,0,0,0,None,0,None,None,关系
3,徒弟,A01,A01,0,0,0,师父,0,None,None,关系
4,代表作品,A01,作品,0,0,0,None,1,,None,属性
5,武器,A01,A05,0,0,0,None,0,兵器,None,属性
6,师弟,A01,A02,0,0,0,None,0,None,None,关系
7,岳父,A01,A02,0,0,0,None,0,None,None,关系
8,庙号,A01,名称,0,0,0,None,0,None,None,属性
9,星宿三宝,A01,物品,0,0,0,None,0,None,None,属性
10,师伯,A01,A01,0,0,0,None,0,None,None,关系
11,侍婢,A01,A03,0,0,0,None,0,None,None,关系
12,师叔祖,A01,A01,0,0,0,None,0,None,None,关系
13,出场年龄,A01,年龄,0,0,1,None,0,None,None,属性
14,形象,A01,外貌,0,0,0,None,0,,None,属性
15,配偶,A01,A01,0,1,0,配偶,0,爱侣,None,关系
16,武功境界,A01,境界,0,0,0,None,0,None,None,属性
17,鄙视的人,A01,A01,0,0,0,None,0,None,None,关系
18,军职,A01,职位,0,0,0,None,0,,None,属性
19,子女,A01,A01,0,0,0,父母,0,None,None,关系
20,夫君,A03,A02,0,0,0,妻子,0,丈夫,None,关系
21,三弟,A01,A02,0,0,1,None,0,None,None,关系
22,爱徒,A01,A01,0,0,0,师父,0,徒弟,None,关系
23,防身,A01,物品,0,0,0,None,0,None,None,属性
24,师友,A01,A01,0,1,0,师友,0,None,好友,关系
25,女儿,A01,A03,0,0,0,None,0,None,None,关系
26,精擅武功,A01,A13,0,0,0,None,0,武功,None,属性
27,情夫,A03,A02,0,0,0,None,0,None,None,关系
28,死因,A01,事件,0,0,0,None,0,None,None,属性
29,异名,A01,名称,0,0,0,None,0,None,None,属性
30,盟友,A01,A01,0,1,0,None,0,None,None,关系
31,岳母,A02,A03,0,0,0,None,0,None,None,关系
32,结拜兄弟,A02,A02,0,1,0,结拜兄弟,0,None,None,关系
33,师母,A01,A03,0,0,0,None,0,None,None,关系
34,帮主,A01,A01,0,0,0,None,0,None,None,关系
35,性别,A01,性别,0,0,1,None,0,None,None,属性
36,小说国籍,A01,国家,0,0,1,None,0,国籍,None,属性
37,爷爷,A01,A02,0,0,1,None,0,,None,关系
38,性格特点,A01,特点,0,0,0,None,0,性格,None,属性
39,五弟,A01,A02,0,0,1,None,0,None,None,关系
40,在位,A01,时间,0,0,1,None,1,None,None,属性
41,信仰,A01,宗教,0,0,1,None,0,小说信仰,None,属性
42,知己,A01,A01,0,1,0,知己,0,None,None,关系
43,兄长,A01,A02,1,0,0,None,0,,None,关系
44,爱慕者,A01,A01,0,0,0,None,0,,None,关系
45,儿媳,A01,A03,0,0,0,None,0,儿媳妇,家人,关系
46,女婿,A01,A02,0,0,0,None,0,None,None,关系
47,徒孙,A01,A01,0,0,0,None,0,None,None,关系
48,二儿子,A01,A02,0,0,1,None,0,None,None,关系
49,穿着,A01,外貌,0,0,0,None,0,None,None,属性
50,大哥,A01,A02,0,0,1,None,0,None,None,关系
51,小说心上人,A01,A01,0,0,0,None,0,心上人,None,关系
52,最要成就,A02,事件,0,0,0,None,0,None,None,属性
53,化名,A01,名称,0,0,0,None,0,None,None,属性
54,侄子,A01,A02,0,0,0,None,0,None,None,关系
55,朝代,A01,朝代,0,0,0,None,0,None,None,属性
