师承,rdfs:type,RELATION
八哥,rdfs:type,RELATION
不服之人,rdfs:type,RELATION
宿敌,rdfs:domain,人
曾用兵器,rdfs:type,PROPERTY
知己,rdfs:type,RELATION
小说兄长,rdfs:type,RELATION
初登场,rdfs:type,PROPERTY
修习者,rdfs:domain,武功
儿媳,rdfs:type,RELATION
强项,rdfs:range,事件
特技,rdfs:type,PROPERTY
小说国籍,rdfs:type,PROPERTY
人物关系,rdfs:domain,人
先祖,owl:sameas,祖先
王号,rdfs:range,名称
爵位,owl:sameas,封爵
小说父亲,rdfs:type,RELATION
亲传,rdfs:subpropertyof,弟子
著作,owl:sameas,代表作品
登场地点,rdfs:range,地点
武功绝技,owl:sameas,武功
退场原因,rdfs:domain,人
后代传人,owl:sameas,传人
七哥,rdfs:type,PROPERTY
出嫁地点,rdfs:type,owl:functionalproperty
曾祖母,rdfs:domain,人
官职,rdfs:range,职位
祖父,rdfs:range,男人
后代,rdfs:type,RELATION
尊敬的人,rdfs:range,人
最要成就,rdfs:domain,男人
信物,rdfs:range,物品
义嫂,rdfs:range,女人
弟妹,rdfs:type,RELATION
齐名者,owl:inverseof,齐名者
小说职业,rdfs:range,职位
代表作品,rdfs:type,PROPERTY
师娘,rdfs:range,女人
年号,rdfs:type,PROPERTY
追封,rdfs:type,owl:inversefunctionalproperty
名号,rdfs:range,名称
葬身之地,rdfs:type,owl:functionalproperty
门派,rdfs:domain,人
汗号,rdfs:type,PROPERTY
出场年龄,rdfs:range,年龄
语种,rdfs:range,语言
电视剧结局,rdfs:type,PROPERTY
爱侣,rdfs:range,人
体重,rdfs:domain,人
尊主,rdfs:type,owl:functionalproperty
武功家数,rdfs:domain,人
义父,rdfs:domain,人
国别,rdfs:type,owl:functionalproperty
小说父亲,rdfs:range,男人
四嫂,rdfs:range,女人
家臣,rdfs:type,owl:inversefunctionalproperty
家族,rdfs:range,家族
籍贯,rdfs:range,地点
师兄妹,rdfs:domain,人
总舵主,rdfs:domain,人
母亲,rdfs:domain,人
陵墓,rdfs:domain,人
出场回数,rdfs:type,PROPERTY
仇人,rdfs:range,人
师兄,rdfs:range,男人
出场年龄,rdfs:domain,人
旧版儿媳,rdfs:range,女人
供奉,rdfs:domain,地点
主要兵器,rdfs:type,PROPERTY
旗籍,rdfs:type,PROPERTY
最要成就,rdfs:type,PROPERTY
亲传,rdfs:domain,人
仰慕者,rdfs:type,RELATION
逝地,rdfs:range,地点
前夫,owl:inverseof,前妻
时代,rdfs:type,owl:functionalproperty
亲家,rdfs:domain,人
个性,rdfs:type,PROPERTY
夫妻关系,rdfs:domain,男人
堂弟,rdfs:type,RELATION
外貌特征,owl:sameas,容貌
相关记载,rdfs:type,PROPERTY
居所,rdfs:range,地点
养女,rdfs:domain,人
七弟,rdfs:type,owl:functionalproperty
代表之花,rdfs:type,owl:functionalproperty
俗姓,rdfs:range,名称
主子,rdfs:domain,人
穿着,rdfs:type,PROPERTY
同母兄弟,rdfs:domain,男人
绰号,rdfs:domain,人
祖母,rdfs:range,女人
地位,rdfs:type,owl:inversefunctionalproperty
